Location,URL,overall,Google,Lat,Lng,Hunger,Temp,Uniformity,Synergy,Wrap,Cost,Tortilla
Cancun Mexican & Seafood,http://cancunmexicanandseafood.com/,3.5,4.1,29.70652,-95.48341,3,5,3.5,2.5,4,5.85,3
Carmen's Mexican Food,https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,3.6,4.2,32.8352268,-117.1868331,3.5,4,3,3.5,5,6.34,3.5
Filiberto's,https://www.yelp.com/biz/filibertos-encinitas-2,3.7,3.8,33.046304,-117.2941326,4.4,4.5,3.8,3,5,5.99,4
Graciela's Taco Shop,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,4,4.5,32.7587723,-117.1080004,3,4,4.5,4,4.5,7.49,3.8
King Burrito,https://www.yelp.com/biz/king-burrito-oceanside-2,2.8,3.9,33.1788465,-117.2947296,3.5,3,2,3,4,7.2,2.6
Lolita's Taco shop,http://lolitasmexicanfood.com/,3.5,4.4,32.8316432,-117.1605738,2.5,2.5,1.5,3.5,4.5,4.99,4
Los Primos Mexican Food,http://www.primosmex.com/,2.6,3.7,33.4841601,-117.142935,2,2.5,4,3,4.5,6.5,4.5
Rigoberto's Taco Shop,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-12,4.5,4.4,32.9203273,-117.2140079,3,5,4,4.5,5,4.45,4.2
El Torrito Foods,https://www.yelp.com/biz/el-torito-foods-vista-2,2.6,4.4,33.191101,-117.2790471,4.5,4,4,2.5,5,7.25,3.5
