Location,URL,overall,Yelp,Google,Lat,Lng,Cost,Hunger,Tortilla,Temp,Uniformity,Synergy,Wrap
California Burritos,https://www.yelp.com/biz/california-burritos-san-diego,5,4.5,4.4,32.8788215,-117.1668915,7,4,3,3,3,4,3.5
El Zarape,https://www.yelp.com/biz/el-zarape-san-diego,5,4,4.4,33.0367532,-117.2796615,7,2.5,5,5,5,5,5
JV's Mexican Food,http://jvsmexfood.com/,2.5,4,4.1,32.7686218,-117.2003367,9.5,2,2.5,2.5,2,3,3.5
Los palmitos,https://www.yelp.com/biz/los-palmitos-taco-shop-san-diego,3.6,4,4.1,32.8340905,-117.1796656,8.25,3.5,3.5,4,4.5,3.5,5
Lucha Libre North Park,https://www.yelp.com/biz/lucha-libre-san-diego,3.6,4,4.3,32.7486959,-117.1297798,8.25,3.5,3.6,3.2,3.5,3.8,3.9
Rigoberto's Taco Shop,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,3,4,4.4,32.9203273,-117.2140079,7.45,3.5,3,5,2.5,3,4
Taco Stand,http://letstaco.com/,4.1,4,4.4,32.8393518,-117.2768191,8.49,2.5,4,4,4.5,4,2
Vallarta express,http://www.vallartaexpress.com/menu/,3.5,4,4,32.8213737,-117.1826061,7.65,3,2,4,2,2,3
Los Primos Mexican Food,http://www.primosmex.com/,2.5,4,3.7,33.4841601,-117.142935,7,2.5,4,4,3.5,3,4.5
